"Table 330.10. Average undergraduate tuition, fees, room, and board rates charged for full-time students in degree-granting postsecondary institutions, by level and control of institution: Selected academic years, 
              1963-64 through 2022-23",,,,,,,,,,,,,,,,,,,,,,,,
Year and control of institution,Current dollars,,,,,,,,,,,,Constant 2022-23 dollars\1\,,,,,,,,,,,
,"Total tuition, fees, room, and board",,,Tuition and required fees\2\,,,Dormitory rooms\3\,,,"Board\3,4\",,,"Total tuition, fees, room, and board",,,Tuition and required fees\2\,,,Dormitory rooms\3\,,,"Board\3,4\",,
,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
All institutions,,,,,,,,,,,,,,,,,,,,,,,,
    2019-20 ,"27,561","27,697","24,971","14,992","14,957","15,339","7,421","7,558","5,312","5,148","5,181","4,320","32,110","32,268","29,093","17,466","17,426","17,871","8,646","8,806","6,189","5,997","6,036","5,033"
    2020-21,"27,425","27,672","23,599","15,370","15,400","15,080","7,169","7,370","4,039","4,885","4,902","4,480","31,232","31,514","26,876","17,504","17,539","17,174","8,164","8,393","4,600","5,563","5,582","5,102"
    2021-22,"27,689","27,863","24,314","15,535","15,505","15,839","7,162","7,350","3,995","4,991","5,009","4,480","29,423","29,608","25,836","16,508","16,476","16,831","7,611","7,810","4,245","5,304","5,322","4,761"
    2022-23,"27,651","27,767","24,948","15,919","15,868","16,444","7,104","7,267","4,025","4,628","4,632","4,480","27,651","27,767","24,948","15,919","15,868","16,444","7,104","7,267","4,025","4,628","4,632","4,480"
"\1\Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to an academic-year basis.",,,,,,,,,,,,,,,,,,,,,,,,
"\2\For public institutions, in-district tuition and required fees are used.",,,,,,,,,,,,,,,,,,,,,,,,
\3\Not all institutions offer on-campus accommodations. On-campus estimates include weighted averages of room and board and other costs only for institutions that report these costs.,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Data for 1986-87 and later years reflect a basis of 20 meals per week, while data for earlier years are for meals served 7 days a week (the number of meals per day was not specified). Because of this revision in data collection and tabulation procedures, data are not entirely comparable with figures for previous years. In particular, data on board rates are somewhat higher than in earlier years because they reflect the basis of 20 meals per week rather than meals served 7 days a week. Since many institutions serve fewer than 3 meals each day, the 1986-87 and later data reflect a more accurate accounting of total board costs. ",,,,,,,,,,,,,,,,,,,,,,,,
\5\Room and board data are estimated.    ,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data in this table represent the 50 states and the District of Columbia. Data are for the entire academic year as defined by the institution and are average charges for full-time students. Tuition and fees were weighted by the number of full-time-equivalent undergraduates, but were not adjusted to reflect student residency. Room and board are based on full-time undergraduate students. Data through 1995-96 are for institutions of higher education and U.S. service academies, while later data are for degree-granting institutions and U.S. service academies. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Projections of Education Statistics to 1986-87; Higher Education General Information Survey (HEGIS), ""Institutional Characteristics of Colleges and Universities"" surveys, 1969-70 through 1985-86; ""Fall Enrollment in Institutions of Higher Education"" surveys, 1963 through 1985; Integrated Postsecondary Education Data System (IPEDS), ""Fall Enrollment Survey"" (IPEDS-EF:86-99) and ""Institutional Characteristics Survey"" (IPEDS-IC:86-99); IPEDS Fall Enrollment component, Spring 2001 through Spring 2022 (final data) and Spring 2023 (provisional data); and IPEDS Institutional Characteristics component, Fall 2000 through Fall 2021 (final data) and Fall 2022 (provisonal data). (This table was prepared December 2023.)",,,,,,,,,,,,,,,,,,,,,,,,
